observation_date;IPG311A2N
1972-01-01;58,2833
1972-02-01;58,2441
1972-03-01;58,7269
1972-04-01;59,6957
1972-05-01;60,1183
1972-06-01;62,8722
1972-07-01;59,5531
1972-08-01;61,9703
1972-09-01;63,3196
1972-10-01;65,2633
1972-11-01;61,7698
1972-12-01;59,9623
1973-01-01;58,9474
1973-02-01;59,8332
1973-03-01;59,4052
1973-04-01;59,1391
1973-05-01;61,0351
1973-06-01;62,4482
1973-07-01;59,4879
1973-08-01;61,0439
1973-09-01;63,6771
1973-10-01;65,7917
1973-11-01;64,4486
1973-12-01;61,4920
1974-01-01;61,0025
1974-02-01;61,1056
1974-03-01;61,3168
1974-04-01;60,0386
1974-05-01;62,3164
1974-06-01;65,3744
1974-07-01;61,0995
1974-08-01;63,5348
1974-09-01;64,6135
1974-10-01;66,6631
1974-11-01;63,1915
1974-12-01;59,4689
1975-01-01;57,5194
1975-02-01;57,3478
1975-03-01;56,7317
1975-04-01;58,7458
1975-05-01;58,8462
1975-06-01;62,4430
1975-07-01;60,4769
1975-08-01;62,6426
1975-09-01;64,4800
1975-10-01;67,0980
1975-11-01;65,2175
1975-12-01;62,4499
1976-01-01;62,2699
1976-02-01;62,7630
1976-03-01;62,3860
1976-04-01;62,6378
1976-05-01;64,7077
1976-06-01;66,6733
1976-07-01;64,8739
1976-08-01;66,9644
1976-09-01;68,5035
1976-10-01;69,9412
1976-11-01;67,7372
1976-12-01;64,9685
1977-01-01;63,9342
1977-02-01;65,0825
1977-03-01;65,0242
1977-04-01;65,2675
1977-05-01;65,3057
1977-06-01;67,9448
1977-07-01;65,2631
1977-08-01;68,1095
1977-09-01;68,9977
1977-10-01;70,1597
1977-11-01;68,7479
1977-12-01;67,1897
1978-01-01;65,4272
1978-02-01;66,6690
1978-03-01;66,7733
1978-04-01;68,8201
1978-05-01;68,0352
1978-06-01;71,4442
1978-07-01;67,7885
1978-08-01;71,1346
1978-09-01;71,7491
1978-10-01;72,2583
1978-11-01;70,9864
1978-12-01;68,4724
1979-01-01;66,4869
1979-02-01;66,4879
1979-03-01;67,6612
1979-04-01;67,4750
1979-05-01;68,2738
1979-06-01;70,6118
1979-07-01;66,9649
1979-08-01;70,1143
1979-09-01;70,5582
1979-10-01;71,9666
1979-11-01;69,8833
1979-12-01;67,9812
1980-01-01;67,2462
1980-02-01;68,1812
1980-03-01;68,0726
1980-04-01;68,0486
1980-05-01;69,2697
1980-06-01;71,2265
1980-07-01;67,9525
1980-08-01;71,5599
1980-09-01;72,3121
1980-10-01;73,6010
1980-11-01;71,2565
1980-12-01;68,8875
1981-01-01;67,9452
1981-02-01;69,1054
